x0,x1,x2,y,x3,x4
A10,24.0,A2,0.03,0.01,0.0
A6,25.0,A10,0.0,0.51,0.0
A1,25.0,A3,0.3,0.01,0.02
A6,27.0,A11,0.0,,0.06
A10,21.0,A1,0.0,0.0,0.15
A18,1.0,A0,0.2,,0.0
A11,24.0,A7,0.0,0.07,0.0
A1,29.0,A3,0.0,0.04,0.0
A17,22.0,A9,0.07,0.02,0.0
A5,29.0,A7,0.11,0.02,0.0
A0,17.0,A9,0.43,0.29,0.09
A1,28.0,A2,0.06,,0.0
A4,31.0,A9,0.11,,0.01
A0,,A2,0.58,0.4,0.0
A6,23.0,A8,0.12,,0.0
A11,31.0,A0,0.0,0.03,0.0
A10,23.0,A6,0.03,0.01,0.0
A19,5.0,A6,0.0,0.0,0.51
A3,28.0,A6,0.21,0.09,0.01
A17,23.0,A6,0.0,,0.05
A6,27.0,A0,0.77,,0.0
A9,27.0,A2,0.33,0.01,0.0
A3,25.0,A6,0.07,0.0,0.0
A1,27.0,A3,1.3,1.27,0.0
A20,12.0,A7,0.0,0.0,0.13
A0,18.0,A6,3.68,,1.42
A4,31.0,A0,0.0,0.02,0.0
A13,24.0,A2,0.1,,0.0
A9,30.0,A11,0.32,,0.03
A17,25.0,A9,0.04,0.01,0.0
A0,16.0,A10,0.08,0.06,0.11
A5,35.0,,0.03,0.07,0.0
A1,29.0,A2,1.43,0.94,0.74
A18,,A1,0.41,0.03,0.0
A16,35.0,A2,0.0,0.0,0.01
A9,29.0,A1,0.34,,0.0
A0,17.0,A7,0.04,,0.0
A6,24.0,A6,0.01,0.01,0.0
A18,3.0,A7,0.45,,0.0
A1,26.0,,0.58,0.04,0.11
A4,31.0,A8,0.11,0.0,0.0
A3,26.0,A8,0.02,0.0,0.02
A11,29.0,A4,0.0,0.09,0.0
A6,28.0,A8,0.0,0.02,0.0
A17,23.0,A6,0.05,,0.0
A9,29.0,A0,0.1,0.0,0.0
A13,22.0,A6,0.39,0.15,0.0
A16,33.0,A10,0.16,0.05,0.12
A3,27.0,A6,0.0,,0.0
A17,26.0,A6,0.12,,0.0
A1,26.0,A11,0.0,0.0,0.74
A17,23.0,A6,0.01,0.0,0.0
A5,35.0,A0,0.0,0.04,0.0
A6,29.0,A3,1.09,0.85,0.0
A5,27.0,A0,0.56,0.02,0.01
A11,31.0,A10,0.09,0.09,0.0
A10,24.0,A0,0.35,,0.0
A5,33.0,A7,1.3,1.51,0.27
A4,27.0,A5,0.13,,0.0
A6,27.0,A5,0.0,,0.3
A9,31.0,A0,0.12,,0.0
A6,26.0,A2,0.03,0.02,0.0
A3,27.0,A2,0.22,0.28,0.0
A6,27.0,A5,0.2,0.16,0.0
A6,24.0,A10,0.65,0.75,3.61
A4,29.0,A2,0.34,0.35,0.0
A0,18.0,A4,0.02,0.01,0.0
A17,23.0,A2,0.38,,0.12
A5,28.0,A6,0.01,0.06,0.0
A1,28.0,A3,0.08,0.0,0.0
A4,26.0,A7,0.35,0.02,0.01
A0,21.0,A2,0.17,0.12,0.0
A10,22.0,A6,0.56,0.21,0.0
A3,28.0,A6,0.29,0.22,0.0
A8,14.0,A3,0.0,0.0,0.08
A4,33.0,A2,0.96,0.37,0.0
A11,22.0,A5,0.01,,0.0
A5,33.0,A7,0.08,0.16,0.0
A6,24.0,A6,0.05,0.04,0.0
A6,22.0,A7,0.08,0.06,0.0
A9,30.0,A2,0.87,,0.13
A0,17.0,A7,0.01,,0.0
A6,22.0,A9,0.76,0.59,0.0
A10,,A2,0.0,0.0,0.27
A0,15.0,A9,0.71,0.48,0.0
A7,34.0,A2,0.55,,0.11
A5,32.0,A2,0.01,0.24,0.86
A1,24.0,A1,0.52,,1.21
A1,26.0,A3,0.17,0.0,0.0
A5,32.0,A2,0.26,0.21,0.11
A1,29.0,A3,0.08,0.0,0.0
A1,31.0,A4,0.0,,0.05
A1,28.0,A10,0.12,0.04,0.05
A1,26.0,A1,0.01,0.0,0.0
A4,35.0,A0,0.15,0.0,0.0
A5,28.0,A11,0.22,,0.0
A4,35.0,A4,0.02,0.01,0.0
A1,29.0,A1,0.0,,0.09
A9,29.0,A8,1.19,0.4,0.0
A2,34.0,A10,0.05,0.01,0.0
A11,34.0,A2,0.0,,0.0
A4,31.0,A11,0.1,0.02,0.0
A8,18.0,A10,0.0,0.0,0.03
A4,27.0,A2,0.15,,0.02
A0,19.0,A11,0.01,0.0,0.0
A4,29.0,A0,0.59,,0.01
A5,28.0,A8,0.27,0.51,0.0
A5,30.0,A2,1.87,0.57,0.11
A10,24.0,A0,0.01,,0.0
A2,33.0,A0,0.0,0.23,0.0
A21,18.0,A6,0.04,0.01,0.0
A3,33.0,A4,0.0,0.0,0.01
A5,31.0,A8,0.08,0.02,0.0
A13,23.0,A1,0.02,0.01,0.0
A9,27.0,A2,0.17,,0.0
A4,27.0,A0,0.45,0.01,0.0
A1,30.0,A2,0.0,0.0,0.02
A6,26.0,A4,0.05,0.04,0.84
A6,23.0,A9,0.05,0.04,0.0
A0,19.0,A9,0.03,0.02,0.0
A9,28.0,A5,0.29,0.14,0.19
A1,28.0,A2,0.15,0.01,0.0
A10,21.0,A1,0.09,0.03,0.0
A13,25.0,A7,0.03,0.01,0.0
A9,27.0,A2,0.11,0.0,0.04
A21,19.0,A6,0.1,0.02,0.0
A0,20.0,A0,0.91,0.11,0.0
A0,17.0,A6,0.0,,0.17
A5,33.0,A2,0.0,,0.0
A9,26.0,A8,0.04,,0.0
A2,31.0,A2,0.47,0.26,0.35
A0,19.0,A0,0.0,0.0,0.31
A14,20.0,A9,1.1,,0.12
A6,24.0,A0,0.16,1.89,1.12
A13,24.0,A0,0.13,,0.0
A13,22.0,A0,0.03,,0.0
A21,19.0,A9,0.11,0.03,0.0
A10,24.0,A2,0.3,0.11,0.0
A1,27.0,A10,0.16,,0.06
A6,26.0,A4,0.0,0.0,0.07
A10,22.0,A0,0.37,0.14,0.0
A1,26.0,A2,0.23,0.0,0.0
A1,26.0,A6,0.25,0.01,0.0
A0,22.0,A9,0.13,0.09,0.0
A17,,A10,0.01,0.0,0.0
A0,18.0,A7,0.39,,0.0
A13,25.0,A4,0.02,,0.0
A9,30.0,A8,1.67,,0.0
A4,31.0,A0,2.31,0.14,0.01
A9,29.0,A4,0.21,,0.0
A13,22.0,A6,0.05,,0.0
A1,28.0,A3,0.67,,0.0
A1,24.0,A1,0.17,,0.1
A5,29.0,A2,0.65,0.41,0.0
A10,21.0,A8,0.16,0.06,0.0
A4,30.0,A0,1.74,0.48,0.0
A12,16.0,A3,0.0,0.0,1.44
A1,30.0,A3,0.27,0.06,0.22
A3,30.0,A3,0.06,0.05,0.15
A17,23.0,A9,0.01,0.0,0.0
A17,22.0,A0,0.06,,0.0
A0,17.0,A1,0.01,,0.0
A8,17.0,A5,0.0,0.0,0.11
A3,29.0,A4,0.0,0.0,0.04
A16,34.0,A10,0.0,0.0,0.06
A5,31.0,A9,0.12,,0.11
A10,22.0,A0,0.01,0.01,0.0
A11,31.0,A2,0.1,0.13,0.0
A6,26.0,A8,0.0,1.1,0.0
A6,23.0,A0,0.24,,0.0
A3,30.0,A5,0.0,0.0,0.01
A3,28.0,A10,0.04,,0.0
A16,31.0,A2,0.14,0.06,0.0
A5,32.0,A7,0.41,0.33,0.09
A9,28.0,A3,0.6,0.09,0.02
A5,33.0,A0,1.43,0.33,0.04
A6,21.0,A10,0.13,,0.0
A3,32.0,A4,0.0,0.0,0.08
A0,20.0,A0,0.56,0.38,0.0
A4,32.0,A2,0.2,0.0,0.0
A16,33.0,A10,0.04,0.01,0.12
A9,31.0,A2,0.36,0.19,0.0
A2,34.0,A1,0.0,,0.0
A3,29.0,A10,0.0,,0.04
A4,32.0,A2,0.0,0.0,0.03
A7,35.0,A11,0.01,0.0,0.02
A13,21.0,A9,0.15,,0.0
A10,22.0,A6,0.1,,0.0
A8,16.0,A11,0.0,0.0,0.62
A2,32.0,A9,0.12,0.15,0.0
A5,31.0,A2,0.11,0.07,0.08
A6,27.0,A11,0.03,,0.0
A6,23.0,A6,0.03,0.02,0.0
A2,34.0,A11,3.24,1.35,2.42
A1,28.0,A10,0.04,0.0,0.0
A0,15.0,A3,0.02,0.01,0.04
A6,27.0,A9,0.19,,0.01
A0,18.0,A9,0.03,,0.02
A0,16.0,A3,0.65,,0.0
A4,,A8,0.0,0.0,0.01
A22,34.0,A2,0.0,0.03,0.08
A9,29.0,A7,0.07,0.0,0.0
A3,29.0,A2,0.28,0.5,0.03
A16,34.0,A6,0.03,,0.0
A0,19.0,A8,0.0,0.0,0.44
A11,29.0,A2,0.0,,0.0
A1,27.0,A8,0.87,1.57,1.05
A13,23.0,A7,0.61,0.24,0.0
A16,35.0,A2,0.0,0.0,0.01
A10,22.0,A8,0.33,,0.0
A8,15.0,A1,0.0,0.0,0.05
A6,27.0,A9,0.2,,0.0
A19,5.0,A1,0.0,0.0,0.41
A11,34.0,A3,0.0,0.43,0.0
A10,24.0,A6,0.0,,0.08
A6,26.0,A7,0.01,0.0,0.0
A3,31.0,A4,0.0,0.0,0.04
A2,31.0,A1,0.07,,0.02
A9,30.0,A2,0.06,,0.0
A0,21.0,A4,0.1,,0.0
A0,18.0,A7,0.36,0.25,0.0
A2,36.0,A8,0.02,,0.0
A5,28.0,A10,0.32,0.04,0.11
A9,27.0,A0,0.32,0.59,0.01
A23,35.0,A0,0.02,0.0,0.0
A2,31.0,A4,0.07,0.05,0.03
A3,27.0,A11,0.0,0.0,0.08
A0,19.0,A10,0.04,0.03,0.0
A0,16.0,A8,0.1,0.07,0.0
A4,25.0,A9,0.1,0.02,0.07
A5,29.0,A2,0.21,,0.05
A16,34.0,A10,0.0,0.07,0.02
A1,25.0,A1,0.14,,0.0
A6,29.0,A2,0.09,,0.0
A5,27.0,A7,0.14,0.01,0.0
A1,30.0,A4,0.0,0.0,0.04
A4,29.0,A2,0.62,,0.0
A3,30.0,A11,0.22,0.31,0.0
A10,21.0,A1,0.1,0.04,0.1
A0,16.0,A7,0.31,0.21,0.0
A0,17.0,A9,0.05,,0.0
A3,27.0,A2,0.22,,0.0
A1,26.0,A1,0.08,0.01,0.03
A0,21.0,A6,0.1,,0.0
A10,23.0,A8,0.09,,0.0
A11,34.0,A3,0.02,0.08,0.0
A5,28.0,A0,0.11,0.01,0.0
A6,23.0,A11,0.06,0.05,0.0
A5,33.0,A6,0.11,0.1,0.02
A16,35.0,A2,0.0,0.0,0.01
A1,24.0,A9,0.31,,0.0
A22,35.0,A8,0.0,0.0,0.01
A13,24.0,A7,0.11,,0.0
A6,25.0,A8,0.12,0.09,0.0
A1,30.0,A10,0.0,,0.07
A2,35.0,A10,0.46,0.31,0.33
A17,25.0,A2,0.07,,0.0
A3,29.0,A9,0.08,0.29,0.0
A0,20.0,A4,0.36,,0.0
A18,0.0,A7,4.0,0.26,0.0
A4,28.0,A0,1.0,0.16,0.0
A4,32.0,A2,0.14,0.09,0.0
A3,27.0,A0,0.0,0.0,0.03
A11,25.0,A9,0.0,,0.0
A2,31.0,A0,0.12,,0.06
A6,21.0,A0,0.09,0.07,0.0
A2,32.0,,0.33,,0.37
A13,21.0,A8,0.19,0.05,0.0
A1,29.0,A11,0.37,0.02,0.0
A9,29.0,A4,0.0,0.03,0.03
A4,29.0,A9,0.24,0.17,0.0
A18,2.0,A0,0.46,,0.0
A1,27.0,A8,0.0,0.0,0.01
A2,33.0,A2,0.03,0.04,0.0
A1,28.0,A3,0.18,,0.0
A11,32.0,A7,0.0,0.04,0.0
A0,21.0,A11,0.0,0.0,0.46
A5,28.0,A2,0.21,,0.0
A5,29.0,A5,0.0,0.02,0.0
A9,29.0,A2,0.6,,0.0
A15,15.0,A8,0.0,0.0,0.03
A17,22.0,A9,0.04,0.01,0.0
A10,22.0,A6,0.77,0.29,0.0
A1,30.0,A8,0.58,0.0,0.0
A21,18.0,A0,0.75,0.03,0.0
A9,30.0,A3,0.29,0.04,0.0
A16,36.0,A10,0.0,0.0,0.3
A2,31.0,A4,0.08,0.02,0.0
A21,16.0,A9,5.55,1.94,2.23
A0,17.0,A0,0.01,,0.0
A4,34.0,A7,0.02,0.03,0.0
A9,28.0,A4,0.2,,0.0
A5,29.0,A8,0.18,,0.0
A1,28.0,A7,0.03,0.0,0.0
A1,26.0,A5,0.01,,0.0
A16,31.0,A2,0.05,0.04,0.0
A3,33.0,A2,0.0,0.0,0.06
A13,24.0,A7,0.19,0.05,0.0
A4,30.0,A3,0.11,0.08,0.0
A6,27.0,A9,0.12,0.09,0.0
A13,24.0,A6,0.1,0.03,0.0
A5,31.0,A2,0.0,,0.11
A4,29.0,A11,0.07,,0.0
A11,18.0,A5,0.0,,0.0
A4,26.0,A2,0.07,0.01,0.0
A9,30.0,A6,0.22,,0.0
A11,35.0,A5,0.09,0.13,0.0
A1,28.0,A3,0.0,0.0,0.06
A3,28.0,A1,0.06,0.0,0.0
A18,1.0,A2,0.3,0.02,0.0
A3,30.0,A10,0.03,0.0,0.0
A6,23.0,A2,0.21,,0.0
A13,23.0,A6,0.41,0.43,0.01
A3,33.0,A4,0.0,0.0,0.02
A0,17.0,A4,0.18,,0.0
A6,29.0,A5,0.0,,0.31
A23,36.0,A3,0.0,0.01,0.0
A5,32.0,A0,0.01,0.0,0.0
A5,30.0,A2,1.41,0.21,0.03
A1,27.0,A1,0.0,,0.0
A1,24.0,A9,0.04,0.0,0.0
A1,30.0,A4,0.18,0.14,0.0
A5,35.0,A8,0.1,,0.0
A13,23.0,A7,0.01,,0.0
A0,19.0,A5,0.0,0.0,0.19
A1,27.0,A10,0.1,0.0,0.0
A21,19.0,A9,0.32,0.07,0.0
A11,27.0,A2,0.0,,0.0
A9,28.0,A10,0.22,0.05,0.24
A17,24.0,A0,0.0,0.0,0.09
A13,26.0,A9,0.15,0.04,0.0
A11,27.0,A5,0.0,0.03,0.0
A15,13.0,A10,0.0,0.0,0.78
A15,11.0,A3,0.93,0.27,0.75
A10,21.0,A0,0.03,0.01,0.0
A0,18.0,A7,0.64,0.43,0.0
A8,17.0,A10,0.0,0.0,0.21
A4,30.0,A11,0.49,0.09,0.01
A9,28.0,A4,0.45,0.0,0.0
A5,27.0,A0,0.15,0.0,0.0
A9,29.0,A0,0.05,,0.0
A4,27.0,A2,0.03,0.0,0.01
A3,29.0,A2,0.22,,0.0
A18,1.0,A0,0.12,,0.0
A1,27.0,A1,0.1,,0.0
A5,28.0,A0,0.12,0.0,0.0
A0,17.0,A2,0.04,,0.0
A3,31.0,A4,0.0,0.0,0.03
A0,19.0,A0,0.06,0.04,0.0
A15,14.0,A0,0.0,0.0,0.33
A1,30.0,A8,0.07,0.0,0.0
A13,22.0,A9,0.07,0.02,0.0
A1,29.0,A2,0.08,0.0,0.0
A5,33.0,A6,0.14,,0.0
A9,30.0,A0,0.24,,0.0
A10,22.0,A6,0.93,0.59,0.21
A13,23.0,A3,0.19,0.05,0.0
A3,29.0,A2,0.08,,0.0
A0,18.0,A4,0.03,,0.07
A1,30.0,A5,0.0,0.0,0.17
A23,36.0,A2,0.02,0.02,0.0
A5,29.0,A0,0.07,0.0,0.0
A9,26.0,A9,0.4,,0.08
A4,29.0,A2,0.17,0.12,0.0
A11,32.0,A2,0.0,0.06,0.0
A6,22.0,A0,0.08,0.07,0.0
A8,19.0,A0,0.0,0.0,0.09
A2,33.0,A11,0.0,0.0,0.03
A3,29.0,A4,0.0,0.0,0.01
A3,31.0,A8,0.0,,0.03
A6,24.0,A10,0.12,0.09,0.0
A21,19.0,A10,0.16,,0.05
A6,27.0,A5,0.0,,0.02
A10,22.0,A0,0.01,0.0,0.0
A11,31.0,A5,0.01,0.03,0.0
A3,32.0,A2,0.0,0.0,0.06
A9,30.0,A7,0.12,,0.0
A11,31.0,A4,0.0,,0.0
A11,31.0,A3,0.0,0.02,0.0
A1,31.0,A2,0.0,0.0,0.08
A2,33.0,A10,0.0,0.0,0.07
A8,16.0,A1,0.0,0.0,0.08
A21,18.0,A9,0.45,0.33,0.29
A9,31.0,A0,0.08,0.0,0.0
A16,35.0,A10,0.0,,0.07
A2,34.0,A1,0.06,,0.0
A4,27.0,A3,0.69,,0.22
A23,34.0,A0,0.17,0.02,0.0
A2,31.0,A10,0.28,0.01,0.06
A6,26.0,A4,0.0,,0.02
A5,31.0,A0,0.0,,0.0
A4,31.0,A2,0.0,0.04,0.01
A5,34.0,A6,0.0,,0.01
A6,23.0,A0,0.47,,0.0
A1,27.0,A5,0.05,0.01,0.0
A9,31.0,A0,0.06,,0.0
A16,34.0,A2,0.05,0.26,0.0
A11,29.0,A10,0.0,0.02,0.0
A5,30.0,A2,0.0,,0.03
A2,33.0,A8,0.01,0.02,0.0
A15,15.0,A10,0.0,0.0,0.71
A13,26.0,A0,0.02,0.01,0.0
A0,19.0,A5,0.35,0.24,0.0
A6,21.0,A7,0.26,0.2,0.0
A4,26.0,A10,0.12,,0.03
A7,36.0,A0,0.01,0.16,0.09
A19,5.0,A7,0.65,,0.21
A16,36.0,A4,0.0,,0.01
A13,23.0,A3,0.4,0.14,0.0
A9,29.0,A8,0.1,0.0,0.0
A2,34.0,A5,0.02,0.0,0.0
A19,4.0,A8,0.0,,1.45
A2,31.0,A2,0.26,0.15,0.05
A2,31.0,A7,0.04,,0.0
A5,31.0,A0,0.12,0.0,0.0
A2,34.0,A4,0.04,,0.0
A0,15.0,A9,0.09,0.06,0.0
A2,31.0,A8,0.22,0.0,0.0
A14,19.0,A11,0.0,,0.1
A1,27.0,A10,1.85,,1.54
A22,34.0,A2,0.34,,0.1
A1,27.0,A10,0.05,0.0,0.0
A5,30.0,A8,0.33,0.35,0.0
A2,33.0,A6,0.27,,0.0
A3,27.0,A2,0.22,,0.04
A6,22.0,A10,0.1,,0.56
A13,24.0,A8,0.17,,0.0
A13,25.0,A0,0.73,0.21,0.0
A4,28.0,A11,0.15,0.02,0.0
A6,24.0,A5,0.04,0.03,0.0
A6,20.0,A0,0.12,0.1,0.0
A6,22.0,A6,0.06,0.05,0.0
A5,33.0,A2,0.02,0.03,0.11
A6,26.0,A8,0.0,,0.03
A1,28.0,A2,0.03,,0.0
A6,26.0,A7,0.03,,0.0
A6,22.0,A2,0.13,0.1,0.25
A6,26.0,A2,0.0,0.0,0.02
A13,24.0,A2,0.04,0.01,0.0
A5,30.0,A10,0.06,0.03,0.03
A2,32.0,A2,0.2,0.03,0.21
A9,32.0,A2,0.11,,0.0
A17,22.0,A6,0.13,,0.0
A4,29.0,A11,1.82,,0.15
A17,22.0,A6,0.02,0.0,0.0
A4,32.0,A2,0.0,0.0,0.01
A5,27.0,A9,0.15,0.05,0.0
A16,34.0,A10,0.02,,0.06
A10,22.0,A9,0.12,0.04,0.0
A1,28.0,A2,0.0,0.0,0.05
A6,26.0,A11,0.0,0.02,0.0
A5,30.0,A6,0.0,0.03,0.0
A4,27.0,A9,1.04,,0.01
A6,29.0,A2,0.11,0.0,0.0
A19,8.0,A10,0.1,,3.77
A3,25.0,A9,0.53,0.0,0.0
A5,30.0,A2,0.14,0.01,0.0
A10,25.0,A2,0.2,,0.0
A16,34.0,A2,0.06,0.04,0.04
A6,20.0,A1,0.09,,0.0
A9,,A8,0.13,,0.77
A16,35.0,A10,0.01,0.02,0.04
A3,29.0,A10,0.04,0.0,0.01
A17,23.0,A9,0.77,0.2,0.0
A3,28.0,A5,0.0,0.0,0.18
A1,27.0,A1,0.05,,0.0
A4,27.0,A0,0.65,0.0,0.0
A1,30.0,A2,0.11,0.01,0.0
A5,27.0,A0,0.31,,0.76
A11,28.0,A3,0.0,,0.0
A4,,A3,0.14,0.03,0.0
A17,25.0,A6,0.12,,0.0
A6,25.0,A0,0.19,,0.0
A6,28.0,A0,0.1,0.08,0.0
A3,33.0,A5,0.0,,0.02
A4,30.0,A0,0.0,0.12,0.0
A1,27.0,A2,0.69,0.83,0.0
A21,17.0,A2,0.39,,0.17
A1,30.0,A10,0.0,,0.93
A4,31.0,A2,0.02,0.0,0.0
A4,32.0,A0,0.02,0.02,0.0
A6,27.0,A10,0.0,,0.13
A23,35.0,A2,0.08,0.03,0.0
A4,33.0,A7,0.1,0.12,0.0
A6,24.0,A10,0.12,0.09,0.0
A10,25.0,A8,0.15,0.05,0.0
A6,27.0,A9,0.13,0.1,0.0
A2,35.0,A8,0.0,0.0,0.15
A6,25.0,A9,2.03,,0.08
A1,31.0,A7,0.21,0.07,0.0
A11,,A8,0.0,,0.0
A21,19.0,A0,0.04,0.01,0.0
A6,20.0,A0,0.0,0.0,0.35
A4,27.0,A0,0.04,,0.0
A17,25.0,A4,0.09,0.02,0.0
A11,26.0,A3,0.0,0.03,0.0
A3,29.0,A11,0.0,0.0,0.03
A9,28.0,A2,0.15,,0.0
A3,25.0,A0,0.19,0.0,0.0
A0,17.0,A4,0.0,0.0,0.14
A1,27.0,A8,0.0,0.0,0.41
A1,28.0,A5,0.09,0.0,0.0
A5,35.0,A2,0.0,,0.0
A9,,A2,0.15,0.05,0.14
A1,30.0,A8,0.28,1.68,0.33
A17,23.0,A5,0.05,0.01,0.0
A1,30.0,A8,0.14,,0.0
A16,36.0,A10,0.0,0.0,0.01
A4,29.0,A0,0.46,0.1,0.0
A1,30.0,A4,0.05,0.02,0.0
A6,24.0,A11,1.08,0.2,0.0
A3,25.0,A0,0.0,,0.0
A4,35.0,A4,0.02,,0.0
A3,33.0,A4,0.0,0.0,0.02
A0,19.0,A0,0.27,,0.0
A13,24.0,A0,0.03,,0.0
A9,,A8,0.06,,0.0
A0,19.0,A2,0.27,0.18,0.0
A10,23.0,A2,0.02,0.01,0.0
A4,30.0,A7,0.04,0.0,0.0
A5,,A8,0.99,0.41,0.0
A9,28.0,A3,0.42,0.01,0.0
A22,36.0,A2,0.48,0.3,0.08
A10,25.0,A3,0.18,0.06,0.0
A15,15.0,A8,0.0,,0.28
A6,24.0,A2,0.02,,0.0
A9,28.0,A8,2.33,,0.0
A9,31.0,A8,0.19,0.5,0.0
A10,24.0,A2,0.21,,0.0
A10,24.0,A8,0.18,0.07,0.0
A9,30.0,A1,0.34,,0.02
A6,26.0,A4,0.0,,0.03
A5,33.0,A2,0.0,,0.42
A16,36.0,A10,0.0,,0.03
A16,32.0,A2,0.0,,0.05
A0,19.0,A2,0.8,0.54,0.0
A16,34.0,A8,0.13,0.06,0.16
A1,27.0,A5,0.0,0.0,0.03
A1,29.0,A5,0.0,0.02,0.0
A9,32.0,A2,0.0,0.04,0.0
A4,27.0,A7,0.28,,0.0
A1,30.0,A10,0.0,0.0,0.1
A17,24.0,A0,0.11,,0.0
A9,29.0,A0,0.02,,0.0
A6,24.0,A7,0.07,0.05,0.0
A22,33.0,A5,0.45,0.31,0.29
A3,26.0,A11,0.0,0.0,0.01
A18,,A7,2.36,,0.0
A6,24.0,A9,0.29,0.23,0.0
A4,26.0,A9,0.22,,0.0
A1,29.0,A1,0.04,,0.0
A9,27.0,A6,0.42,0.02,0.0
A0,21.0,A10,0.0,0.0,0.32
A1,,A3,0.0,,0.06
A1,28.0,A4,0.0,0.0,0.03
A4,29.0,A5,0.15,,0.03
A5,33.0,A2,0.0,,0.03
A1,31.0,A1,0.07,0.0,0.0
A11,28.0,A2,0.01,0.45,0.0
A6,24.0,A2,0.14,0.11,0.0
A3,29.0,A11,0.25,0.23,0.0
A21,18.0,A3,1.6,0.46,0.08
A9,30.0,A0,0.15,0.07,0.0
A4,29.0,A0,0.56,0.0,0.0
A17,23.0,A6,0.09,,0.0
A16,34.0,A2,0.01,,0.12
A2,32.0,A2,0.0,,0.11
A13,22.0,A0,0.02,,0.0
A11,32.0,A8,0.0,0.02,0.0
A5,33.0,A2,1.07,,0.04
A1,27.0,A4,0.0,0.0,0.05
A1,29.0,A4,0.06,0.3,0.0
A6,28.0,A11,0.08,0.06,0.0
A1,30.0,A0,0.0,0.0,0.13
A12,11.0,A10,0.0,0.0,0.76
A4,31.0,A2,0.0,0.0,0.01
A15,12.0,A11,2.47,0.83,2.87
A11,31.0,A1,0.0,,0.0
A16,36.0,A8,0.0,0.0,0.05
A0,17.0,A0,0.85,0.58,0.0
A4,30.0,A9,0.92,0.4,0.0
A0,21.0,A4,0.06,0.04,0.0
A17,23.0,A10,0.21,0.05,0.0
A16,34.0,A10,0.06,0.01,0.02
A3,28.0,A10,0.06,0.0,0.0
A1,30.0,A0,0.04,0.0,0.0
A1,27.0,A8,0.38,,0.0
A6,27.0,A9,0.05,,0.0
A5,30.0,A2,0.51,0.42,0.0
A6,25.0,A2,0.41,0.01,0.0
A6,24.0,A11,0.19,0.15,0.0
